2022-09-30 09:17:05.382269 Start \(≧▽≦)/
2022-09-30 09:17:05.382348 Loading data from pkl...
2022-09-30 09:17:06.613260 Loaded Data (=ﾟωﾟ)ﾉ
2022-09-30 09:17:27.718363 Step 2/3: precision = 8.000
2022-09-30 09:17:27.734603 Step 3/3: precision = 1.000
2022-09-30 09:17:27.734913 Test 2/100 {'precision': 0.04487179487179487}
[1m2022-09-30 09:17:27.734943 Best Result: precision = 0.0449[0m
2022-09-30 09:17:27.912312 Step 0/27: loss = 3.184, loss_main = 3.183, loss_regu = 0.001
2022-09-30 09:17:28.177671 Step 1/27: loss = 3.230, loss_main = 3.229, loss_regu = 0.001
2022-09-30 09:17:28.376174 Step 2/27: loss = 3.191, loss_main = 3.190, loss_regu = 0.001
2022-09-30 09:17:28.575259 Step 3/27: loss = 3.201, loss_main = 3.199, loss_regu = 0.001
2022-09-30 09:17:28.749364 Step 4/27: loss = 3.220, loss_main = 3.219, loss_regu = 0.001
2022-09-30 09:17:28.961645 Step 5/27: loss = 3.187, loss_main = 3.185, loss_regu = 0.001
2022-09-30 09:17:29.169373 Step 6/27: loss = 3.182, loss_main = 3.181, loss_regu = 0.001
2022-09-30 09:17:29.393991 Step 7/27: loss = 3.198, loss_main = 3.197, loss_regu = 0.001
2022-09-30 09:17:29.589060 Step 8/27: loss = 3.176, loss_main = 3.175, loss_regu = 0.001
2022-09-30 09:17:29.774938 Step 9/27: loss = 3.190, loss_main = 3.189, loss_regu = 0.001
2022-09-30 09:17:29.974259 Step 10/27: loss = 3.188, loss_main = 3.187, loss_regu = 0.001
2022-09-30 09:17:30.201550 Step 11/27: loss = 3.180, loss_main = 3.179, loss_regu = 0.001
2022-09-30 09:17:30.402623 Step 12/27: loss = 3.211, loss_main = 3.210, loss_regu = 0.001
2022-09-30 09:17:30.602701 Step 13/27: loss = 3.192, loss_main = 3.190, loss_regu = 0.001
2022-09-30 09:17:30.799099 Step 14/27: loss = 3.193, loss_main = 3.192, loss_regu = 0.001
2022-09-30 09:17:30.992001 Step 15/27: loss = 3.216, loss_main = 3.214, loss_regu = 0.001
2022-09-30 09:17:31.186517 Step 16/27: loss = 3.199, loss_main = 3.198, loss_regu = 0.001
2022-09-30 09:17:31.381285 Step 17/27: loss = 3.188, loss_main = 3.187, loss_regu = 0.001
2022-09-30 09:17:31.584218 Step 18/27: loss = 3.200, loss_main = 3.199, loss_regu = 0.001
2022-09-30 09:17:31.785899 Step 19/27: loss = 3.191, loss_main = 3.190, loss_regu = 0.001
2022-09-30 09:17:32.003754 Step 20/27: loss = 3.177, loss_main = 3.176, loss_regu = 0.001
2022-09-30 09:17:32.179403 Step 21/27: loss = 3.172, loss_main = 3.171, loss_regu = 0.001
2022-09-30 09:17:32.410829 Step 22/27: loss = 3.183, loss_main = 3.182, loss_regu = 0.001
2022-09-30 09:17:32.636472 Step 23/27: loss = 3.196, loss_main = 3.195, loss_regu = 0.001
2022-09-30 09:17:32.865019 Step 24/27: loss = 3.196, loss_main = 3.195, loss_regu = 0.001
2022-09-30 09:17:33.078182 Step 25/27: loss = 3.210, loss_main = 3.209, loss_regu = 0.001
2022-09-30 09:17:33.290762 Step 26/27: loss = 3.192, loss_main = 3.191, loss_regu = 0.001
2022-09-30 09:17:33.395509 Step 27/27: loss = 3.188, loss_main = 3.187, loss_regu = 0.001
2022-09-30 09:17:33.433022 Train 3/100 {'loss': 3.3122360088207103, 'loss_main': 3.311064605359678, 'precision': 0.0841880341880342}
2022-09-30 09:17:33.620973 Step 0/27: loss = 3.170, loss_main = 3.169, loss_regu = 0.001
2022-09-30 09:17:33.825894 Step 1/27: loss = 3.157, loss_main = 3.155, loss_regu = 0.001
